Zilele 1 - 3
Meniu vegetarian
Desert;Budinca cu orez, lapte, vanilie si mango;Tiramisu cu fructe;Prajitura cu banane
Meniu flexitarian
Supa / Ciorba;Mancare de mazare;Ciorba de varza;Mancare de mazare
Fel principal;Paste cu sos de avocado si ton;Fasole batuta;Tocanita de ciuperci
Desert;Prajitura cu branza de vaci;Placinta cu mere;Briose cu morcov
Meniu apti sa manance orice
Supa / Ciorba;Ciorba de pui;Ciorba de varza;Ciorba de perisoare
Fel principal;Vinete umplute;;Piure de cartofi
Desert;Prajitura cu zmeura;Prajitura cu branza de vaci;Cheesecake cu zmeura
Zilele 49 - 51
Meniu vegetarian
Supa / Ciorba;Ciorba de varza;Ciorba de fasole;Supa cu morcov, mazare si gnocchi din naut
Fel principal;Risotto cu zucchini;Fasole batuta;Vinete umplute
Desert;Briose cu morcov;Prajitura cu zmeura;Chec
Meniu flexitarian
Supa / Ciorba;Mancare de mazare;Ciorba de varza;Ciorba de fasole
Fel principal;Paste cu sos de avocado si ton;Somon cu bulgur in sos Teriyaki;Fasole batuta
Desert;Prajitura cu branza de vaci;Clatite cu dulceata;Placinta cu mere
Meniu apti sa manance orice
Supa / Ciorba;Ciorba de varza;Ciorba taraneasca de pui;Ciorba de pui
Fel principal;Salata cu rucola si avocado;;
Desert;Mousse cu ciocolata;Tiramisu cu fructe;Prajitura cu banane
Zilele 52 - 54
Meniu vegetarian
Supa / Ciorba;Ciorba de fasole;Supa cu morcov, mazare si gnocchi din naut;Supa cu morcov, mazare si gnocchi din naut
Fel principal;Paste cu zucchini;Tocanita de ciuperci;Piure de morcovi cu ardei copti
Desert;Prajitura cu zmeura;Cheesecake cu cirese;Prajitura cu banane
Meniu flexitarian
Supa / Ciorba;Ciorba de varza;Ciorba de varza;Supa cu telina si broccoli
Fel principal;Hrisca cu spanac, ciuperci, branza si ton;Tofu cu branza, cuscus si ton;Hrisca cu spanac, ciuperci, branza si ton
Desert;Prajitura cu banane;Briose cu morcov;Prajitura cu merisoare
Meniu apti sa manance orice
Supa / Ciorba;Ciorba taraneasca de pui;Ciorba de porc;Ciorba de varza
Fel principal;Paste cu branza de vaci si legume inabusite;;Piure de cartofi
Desert;Briose cu fructe uscate;Prajitura cu zmeura;Prajitura cu zmeura
Zilele 55 - 57
Meniu vegetarian
Supa / Ciorba;Ciorba de varza;Mancare de mazare;Supa cu dovleac
Fel principal;Salata cu rucola si avocado;Falafel la cuptor cu hummus;Paste cu sos cremos de busuioc
Desert;Clatite cu dulceata;Prajitura cu branza de vaci;Briose cu fructe uscate
Meniu flexitarian
Supa / Ciorba;Mancare de mazare;Ciorba de varza;Ciorba de varza
Fel principal;Vinete umplute;Orez cu ton si porumb;Paste cu sos de avocado si ton
Desert;Prajitura cu banane;Tort de biscuiti;Cheesecake cu zmeura
Meniu apti sa manance orice
Supa / Ciorba;Supa de legume cu fidea;Ciorba de porc;Ciorba de porc
Fel principal;;;
Desert;Mousse cu ciocolata;Prajitura cu banane;Cheesecake cu cirese
Zilele 58 - 60
Meniu vegetarian
Supa / Ciorba;Mancare de mazare;Ciorba de fasole;Supa cu telina si broccoli
Fel principal;Fasole batuta;Paste cu branza de vaci si legume inabusite;Paste cu zucchini
Desert;Mousse cu ciocolata;Prajitura cu branza de vaci;Budinca cu orez, lapte, vanilie si mango
Meniu flexitarian
Supa / Ciorba;Ciorba de fasole;Mancare de mazare;Supa de legume cu fidea
Fel principal;Vinete umplute;Piure de morcovi cu ardei copti;Orez cu ton si porumb
Desert;Prajitura cu banane;Budinca cu orez, lapte, vanilie si mango;Budinca cu orez, lapte, vanilie si mango
Meniu apti sa manance orice
Supa / Ciorba;Supa de legume cu fidea;Ciorba de porc;Ciorba de vacuta
Fel principal;;;Chiftelute marinate
Desert;Prajitura cu zmeura;Chec;Budinca cu orez, lapte, vanilie si mango
