Days 1 - 3
Vegetarian menu
Soup;Cream soup with beans and sweet potato;Vegetable soup with noodles;Pea soup
Main dish;Vegetable souffle;Beaten beans;Beaten beans
Desert;Pudding with rice, milk, vanilla and mango;Cookie cake;Apple pie
Flexitarian menu
Soup;Soup with mushrooms, potatoes and tuna;Cabbage soup;Vegetable soup with noodles
Main dish;Salad with pasta, vegetables and tuna;Rice with parsley, lime and tuna;Mashed potatoes
Desert;Cookie cake;Cheesecake with cherries;Pudding with rice, milk, vanilla and mango
Menu fit to eat anything
Soup;Pork soup;Meatball soup;Bean soup
Main dish;Baked chicken thighs;Beaten beans;Pork neck with vegetables in the oven
Desert;Tiramisu with fruit;Apple pie;Tiramisu with fruit
Days 34 - 36
Vegetarian menu
Soup;Vegetable cream soup with croutons;Bean soup;Cream soup with beans and sweet potato
Main dish;Salad with arugula and avocado;Mashed potatoes;Baked falafel with hummus
Desert;Cheesecake with cherries;Cake;Tiramisu with fruit
Flexitarian menu
Soup;Celery and broccoli soup;Cabbage soup;Cream soup with beans and sweet potato
Main dish;Drob with tuna;Rice with parsley, lime and tuna;Pasta with avocado sauce and tuna
Desert;Cranberry cake;Pudding with rice, milk, vanilla and mango;Muffins with dried fruit
Menu fit to eat anything
Soup;Peasant chicken soup;Bean soup;Meatball soup
Main dish;Chicken livers;Stuffed eggplant;
Desert;Chocolate mousse;Apple pie;Muffins with dried fruit
Days 37 - 39
Vegetarian menu
Soup;Carrot, pea and chickpea gnocchi soup;Celery and broccoli soup;Cabbage soup
Main dish;Carrot puree with baked peppers;Risotto with zucchini;Vegetable souffle
Desert;Muffins with dried fruit;Carrot muffins;Banana cake
Flexitarian menu
Soup;Pea soup;Vegetable cream soup with croutons;Celery and broccoli soup
Main dish;Rice with parsley, lime and tuna;Stuffed eggplant;Salad with arugula and avocado
Desert;Banana cake;Pancakes with jam;Cheesecake with raspberries
Menu fit to eat anything
Soup;Pork soup;Beef soup;Peasant chicken soup
Main dish;;Pork neck with vegetables in the oven;
Desert;Muffins with dried fruit;Cheesecake with cherries;Banana cake
Days 40 - 42
Vegetarian menu
Soup;Celery and broccoli soup;Vegetable soup with noodles;Cabbage soup
Main dish;Beaten beans;Risotto with zucchini;Risotto with zucchini
Desert;Cheesecake with raspberries;Pudding with rice, milk, vanilla and mango;Carrot muffins
Flexitarian menu
Soup;Cabbage soup;Pea soup;Soup with mushrooms, potatoes and tuna
Main dish;Pasta with creamy basil sauce;Carrot puree with baked peppers;Pasta with cottage cheese and stewed vegetables
Desert;Banana cake;Cheesecake with raspberries;Carrot muffins
Menu fit to eat anything
Soup;Beef soup;Pea soup;Meatball soup
Main dish;Beaten beans;Marinated meatballs;Pasta with cottage cheese and stewed vegetables
Desert;Cranberry cake;Raspberry cake;Pancakes with jam
Days 43 - 45
Vegetarian menu
Soup;Pumpkin soup;Cream soup with beans and sweet potato;Vegetable cream soup with croutons
Main dish;Risotto with zucchini;Carrot puree with baked peppers;Rice with spinach, eggs and goat cheese
Desert;Pudding with rice, milk, vanilla and mango;Raspberry cake;Apple pie
Flexitarian menu
Soup;Cabbage soup;Cabbage soup;Cabbage soup
Main dish;Salad with pasta, vegetables and tuna;Risotto with zucchini and tuna;Pasta with cottage cheese and stewed vegetables
Desert;Cranberry cake;Apple pie;Chocolate mousse
Menu fit to eat anything
Soup;Meatball soup;Vegetable cream soup with croutons;Beef soup
Main dish;Chicken/turkey roll;Marinated meatballs;
Desert;Cheesecake with cherries;Apple pie;Muffins with dried fruit
Days 46 - 48
Vegetarian menu
Soup;Vegetable cream soup with croutons;Cabbage soup;Pea soup
Main dish;Pasta with cottage cheese and stewed vegetables;Rice with spinach, eggs and goat cheese;Stuffed eggplant
Desert;Pudding with rice, milk, vanilla and mango;Tiramisu with fruit;Banana cake
Flexitarian menu
Soup;Pea soup;Cabbage soup;Pea soup
Main dish;Pasta with avocado sauce and tuna;Beaten beans;Mushroom stew
Desert;Cottage cheese cake;Apple pie;Carrot muffins
Menu fit to eat anything
Soup;Chicken soup;Cabbage soup;Meatball soup
Main dish;Stuffed eggplant;;Mashed potatoes
Desert;Raspberry cake;Cottage cheese cake;Cheesecake with raspberries
Days 49 - 51
Vegetarian menu
Soup;Cabbage soup;Bean soup;Carrot, pea and chickpea gnocchi soup
Main dish;Risotto with zucchini;Beaten beans;Stuffed eggplant
Desert;Carrot muffins;Raspberry cake;Cake
Flexitarian menu
Soup;Pea soup;Cabbage soup;Bean soup
Main dish;Pasta with avocado sauce and tuna;Salmon with bulgur in Teriyaki sauce;Beaten beans
Desert;Cottage cheese cake;Pancakes with jam;Apple pie
Menu fit to eat anything
Soup;Cabbage soup;Peasant chicken soup;Chicken soup
Main dish;Salad with arugula and avocado;;
Desert;Chocolate mousse;Tiramisu with fruit;Banana cake
Days 52 - 54
Vegetarian menu
Soup;Bean soup;Carrot, pea and chickpea gnocchi soup;Carrot, pea and chickpea gnocchi soup
Main dish;Pasta with zucchini;Mushroom stew;Carrot puree with baked peppers
Desert;Raspberry cake;Cheesecake with cherries;Banana cake
Flexitarian menu
Soup;Cabbage soup;Cabbage soup;Celery and broccoli soup
Main dish;Buckwheat with spinach, mushrooms, cheese and tuna;Tofu with cheese, couscous and tuna;Buckwheat with spinach, mushrooms, cheese and tuna
Desert;Banana cake;Carrot muffins;Cranberry cake
Menu fit to eat anything
Soup;Peasant chicken soup;Pork soup;Cabbage soup
Main dish;Pasta with cottage cheese and stewed vegetables;;Mashed potatoes
Desert;Muffins with dried fruit;Raspberry cake;Raspberry cake
Days 55 - 57
Vegetarian menu
Soup;Cabbage soup;Pea soup;Pumpkin soup
Main dish;Salad with arugula and avocado;Baked falafel with hummus;Pasta with creamy basil sauce
Desert;Pancakes with jam;Cottage cheese cake;Muffins with dried fruit
Flexitarian menu
Soup;Pea soup;Cabbage soup;Cabbage soup
Main dish;Stuffed eggplant;Rice with tuna and corn;Pasta with avocado sauce and tuna
Desert;Banana cake;Cookie cake;Cheesecake with raspberries
Menu fit to eat anything
Soup;Vegetable soup with noodles;Pork soup;Pork soup
Main dish;;;
Desert;Chocolate mousse;Banana cake;Cheesecake with cherries
Days 58 - 60
Vegetarian menu
Soup;Pea soup;Bean soup;Celery and broccoli soup
Main dish;Beaten beans;Pasta with cottage cheese and stewed vegetables;Pasta with zucchini
Desert;Chocolate mousse;Cottage cheese cake;Pudding with rice, milk, vanilla and mango
Flexitarian menu
Soup;Bean soup;Pea soup;Vegetable soup with noodles
Main dish;Stuffed eggplant;Carrot puree with baked peppers;Rice with tuna and corn
Desert;Banana cake;Pudding with rice, milk, vanilla and mango;Pudding with rice, milk, vanilla and mango
Menu fit to eat anything
Soup;Vegetable soup with noodles;Pork soup;Beef soup
Main dish;;;Marinated meatballs
Desert;Raspberry cake;Cake;Pudding with rice, milk, vanilla and mango
